form,filing_date,accession,url
8-K,2024-08-19,0001375365-24-000029,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000029/smci-20240815.htm
8-K,2024-08-06,0001375365-24-000028,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000028/smci-20240806.htm
8-K,2024-07-22,0001375365-24-000027,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000027/smci-20240719.htm
8-K,2024-06-21,0001375365-24-000026,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000026/smci-20240614.htm
8-K,2024-05-09,0001375365-24-000023,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000023/smci-20240503.htm
10-Q,2024-05-06,0001375365-24-000022,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000022/smci-20240331.htm
8-K,2024-04-30,0001375365-24-000021,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000021/smci-20240430.htm
8-K,2024-03-22,0001375365-24-000020,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000020/smci-20240319.htm
8-K,2024-03-15,0001375365-24-000019,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000019/smci-20240311.htm
8-K,2024-02-28,0001375365-24-000017,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000017/smci-20240222.htm
8-K,2024-02-23,0001375365-24-000016,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000016/smci-20240222.htm
8-K,2024-02-22,0001375365-24-000015,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000015/smci-20240221.htm
8-K,2024-02-20,0001375365-24-000014,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000014/smci-20240216.htm
10-Q,2024-02-02,0001375365-24-000011,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000011/smci-20231231.htm
8-K,2024-02-01,0001375365-24-000010,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000010/smci-20240126.htm
8-K,2024-01-29,0001375365-24-000008,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000008/smci-20240129.htm
8-K,2024-01-25,0001375365-24-000005,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000005/smci-20240122.htm
8-K,2024-01-18,0001375365-24-000002,https://www.sec.gov/Archives/edgar/data/1375365/000137536524000002/smci-20240118.htm
8-K,2023-12-11,0001375365-23-000050,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000050/smci-20231207.htm
DEF 14A,2023-12-08,0001375365-23-000046,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000046/smci-20231207.htm
8-K,2023-12-08,0001375365-23-000044,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000044/smci-20231206.htm
8-K,2023-12-05,0001193125-23-289241,https://www.sec.gov/Archives/edgar/data/1375365/000119312523289241/d634974d8k.htm
8-K,2023-11-20,0001375365-23-000043,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000043/smci-20231114.htm
10-Q,2023-11-03,0001375365-23-000041,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000041/smci-20230930.htm
8-K,2023-11-01,0001375365-23-000040,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000040/smci-20231101.htm
8-K,2023-10-27,0001375365-23-000039,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000039/smci-20231027.htm
8-K,2023-10-02,0001375365-23-000038,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000038/smci-20230928.htm
10-K,2023-08-28,0001375365-23-000036,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000036/smci-20230630.htm
8-K,2023-08-08,0001375365-23-000034,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000034/smci-20230808.htm
8-K,2023-07-20,0001375365-23-000033,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000033/smci-20230720.htm
8-K,2023-06-23,0001375365-23-000032,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000032/smci-20230617.htm
8-K,2023-05-23,0001375365-23-000030,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000030/smci-20230519.htm
10-Q,2023-05-05,0001375365-23-000028,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000028/smci-20230331.htm
8-K,2023-05-02,0001375365-23-000027,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000027/smci-20230502.htm
8-K,2023-04-24,0001375365-23-000026,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000026/smci-20230424.htm
DEF 14A,2023-04-14,0001375365-23-000024,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000024/proxystatement2022.htm
8-K,2023-03-15,0001375365-23-000023,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000023/smci-20230309.htm
8-K,2023-02-10,0001375365-23-000019,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000019/smci-20230207.htm
10-Q,2023-02-03,0001375365-23-000012,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000012/smci-20221231.htm
8-K,2023-01-31,0001375365-23-000009,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000009/smci-20230131.htm
8-K,2023-01-18,0001375365-23-000004,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000004/smci-20230118.htm
8-K,2022-12-20,0001375365-22-000124,https://www.sec.gov/Archives/edgar/data/1375365/000137536522000124/smci-20221219.htm
10-Q,2022-11-04,0001375365-22-000119,https://www.sec.gov/Archives/edgar/data/1375365/000137536522000119/smci-20220930.htm
8-K,2022-11-01,0001375365-22-000115,https://www.sec.gov/Archives/edgar/data/1375365/000137536522000115/smci-20221101.htm
8-K,2022-10-19,0001375365-22-000109,https://www.sec.gov/Archives/edgar/data/1375365/000137536522000109/smci-20221019.htm
10-K,2022-08-29,0001375365-22-000103,https://www.sec.gov/Archives/edgar/data/1375365/000137536522000103/smci-20220630.htm
8-K,2022-08-12,0001375365-22-000097,https://www.sec.gov/Archives/edgar/data/1375365/000137536522000097/smci-20220809.htm
8-K,2022-08-09,0001375365-22-000092,https://www.sec.gov/Archives/edgar/data/1375365/000137536522000092/smci-20220803.htm
8-K,2022-07-20,0001375365-22-000086,https://www.sec.gov/Archives/edgar/data/1375365/000137536522000086/smci-20220720.htm
8-K,2022-05-23,0001375365-22-000073,https://www.sec.gov/Archives/edgar/data/1375365/000137536522000073/smci-20220519.htm
8-K,2022-05-19,0001375365-22-000068,https://www.sec.gov/Archives/edgar/data/1375365/000137536522000068/smci-20220518.htm
10-Q,2022-05-06,0001375365-22-000058,https://www.sec.gov/Archives/edgar/data/1375365/000137536522000058/smci-20220331.htm
8-K,2022-05-03,0001375365-22-000053,https://www.sec.gov/Archives/edgar/data/1375365/000137536522000053/smci-20220503.htm
8-K,2022-04-28,0001375365-22-000049,https://www.sec.gov/Archives/edgar/data/1375365/000137536522000049/smci-20220425.htm
8-K,2022-04-18,0001375365-22-000046,https://www.sec.gov/Archives/edgar/data/1375365/000137536522000046/smci-20220418.htm
DEF 14A,2022-04-13,0001375365-22-000043,https://www.sec.gov/Archives/edgar/data/1375365/000137536522000043/proxystatement2021.htm
8-K,2022-04-06,0001375365-22-000037,https://www.sec.gov/Archives/edgar/data/1375365/000137536522000037/smci-20220401.htm
8-K,2022-03-31,0001375365-22-000027,https://www.sec.gov/Archives/edgar/data/1375365/000137536522000027/smci-20220326.htm
8-K,2022-03-16,0001375365-22-000024,https://www.sec.gov/Archives/edgar/data/1375365/000137536522000024/smci-20220311.htm
8-K,2022-03-04,0001375365-22-000021,https://www.sec.gov/Archives/edgar/data/1375365/000137536522000021/smci-20220303.htm
10-Q,2022-02-04,0001375365-22-000013,https://www.sec.gov/Archives/edgar/data/1375365/000137536522000013/smci-20211231.htm
8-K,2022-02-01,0001375365-22-000008,https://www.sec.gov/Archives/edgar/data/1375365/000137536522000008/smci-20220201.htm
8-K,2022-01-13,0001375365-22-000003,https://www.sec.gov/Archives/edgar/data/1375365/000137536522000003/smci-20220107.htm
8-K,2021-12-21,0001375365-21-000093,https://www.sec.gov/Archives/edgar/data/1375365/000137536521000093/smci-20211221.htm
8-K,2021-11-12,0001375365-21-000087,https://www.sec.gov/Archives/edgar/data/1375365/000137536521000087/smci-20211108.htm
10-Q,2021-11-05,0001375365-21-000083,https://www.sec.gov/Archives/edgar/data/1375365/000137536521000083/smci-20210930.htm
8-K,2021-11-02,0001375365-21-000078,https://www.sec.gov/Archives/edgar/data/1375365/000137536521000078/smci-20211102.htm
8-K,2021-10-12,0001375365-21-000075,https://www.sec.gov/Archives/edgar/data/1375365/000137536521000075/smci-20211005.htm
8-K,2021-10-04,0001375365-21-000067,https://www.sec.gov/Archives/edgar/data/1375365/000137536521000067/smci-20210930.htm
8-K,2021-09-17,0001375365-21-000064,https://www.sec.gov/Archives/edgar/data/1375365/000137536521000064/smci-20210913.htm
10-K,2021-08-27,0001375365-21-000060,https://www.sec.gov/Archives/edgar/data/1375365/000137536521000060/smci-20210630.htm
8-K,2021-08-10,0001375365-21-000055,https://www.sec.gov/Archives/edgar/data/1375365/000137536521000055/smci-20210810.htm
8-K,2021-07-26,0001375365-21-000050,https://www.sec.gov/Archives/edgar/data/1375365/000137536521000050/smci-20210720.htm
8-K,2021-06-29,0001375365-21-000047,https://www.sec.gov/Archives/edgar/data/1375365/000137536521000047/smci-20210628.htm
8-K,2021-06-03,0001375365-21-000039,https://www.sec.gov/Archives/edgar/data/1375365/000137536521000039/smci-20210528.htm
10-Q,2021-05-07,0001375365-21-000034,https://www.sec.gov/Archives/edgar/data/1375365/000137536521000034/smci-20210331.htm
8-K,2021-05-04,0001375365-21-000029,https://www.sec.gov/Archives/edgar/data/1375365/000137536521000029/smci-20210504.htm
DEF 14A,2021-04-23,0001375365-21-000026,https://www.sec.gov/Archives/edgar/data/1375365/000137536521000026/proxystatement2020.htm
8-K,2021-03-04,0001375365-21-000022,https://www.sec.gov/Archives/edgar/data/1375365/000137536521000022/smci-20210301.htm
8-K,2021-02-12,0001375365-21-000015,https://www.sec.gov/Archives/edgar/data/1375365/000137536521000015/smci-20210212.htm
10-Q,2021-02-05,0001375365-21-000011,https://www.sec.gov/Archives/edgar/data/1375365/000137536521000011/smci-20201231.htm
8-K,2021-02-02,0001375365-21-000005,https://www.sec.gov/Archives/edgar/data/1375365/000137536521000005/smci-20210129.htm
8-K,2020-12-04,0001375365-20-000077,https://www.sec.gov/Archives/edgar/data/1375365/000137536520000077/smci-20201202.htm
10-Q,2020-11-06,0001375365-20-000074,https://www.sec.gov/Archives/edgar/data/1375365/000137536520000074/smci-20200930.htm
8-K,2020-11-03,0001375365-20-000069,https://www.sec.gov/Archives/edgar/data/1375365/000137536520000069/smci-20201028.htm
10-K,2020-08-31,0001375365-20-000064,https://www.sec.gov/Archives/edgar/data/1375365/000137536520000064/smci-2020630x10k.htm
8-K,2020-08-25,0001375365-20-000059,https://www.sec.gov/Archives/edgar/data/1375365/000137536520000059/form8-k20200825.htm
8-K,2020-08-11,0001375365-20-000057,https://www.sec.gov/Archives/edgar/data/1375365/000137536520000057/form8-k20200811.htm
8-K,2020-06-11,0001375365-20-000052,https://www.sec.gov/Archives/edgar/data/1375365/000137536520000052/form8-k20200610.htm
8-K,2020-06-09,0001375365-20-000050,https://www.sec.gov/Archives/edgar/data/1375365/000137536520000050/form8-k20200608.htm
8-K,2020-05-26,0001375365-20-000044,https://www.sec.gov/Archives/edgar/data/1375365/000137536520000044/form8-k20200526.htm
8-K,2020-05-18,0001375365-20-000042,https://www.sec.gov/Archives/edgar/data/1375365/000137536520000042/form8-k20200518.htm
8-K,2020-05-13,0001375365-20-000035,https://www.sec.gov/Archives/edgar/data/1375365/000137536520000035/form8-k20200513.htm
10-Q,2020-05-11,0001375365-20-000033,https://www.sec.gov/Archives/edgar/data/1375365/000137536520000033/smci-20200331x10q.htm
8-K,2020-05-07,0001375365-20-000030,https://www.sec.gov/Archives/edgar/data/1375365/000137536520000030/form8-k20200507.htm
DEF 14A,2020-04-21,0001375365-20-000024,https://www.sec.gov/Archives/edgar/data/1375365/000137536520000024/proxystatementfy2019.htm
8-K,2020-04-02,0001375365-20-000021,https://www.sec.gov/Archives/edgar/data/1375365/000137536520000021/form8-k20200402.htm
8-K,2020-03-10,0001375365-20-000019,https://www.sec.gov/Archives/edgar/data/1375365/000137536520000019/form8-k20200310.htm
8-K,2020-02-21,0001375365-20-000015,https://www.sec.gov/Archives/edgar/data/1375365/000137536520000015/form8-k20200221.htm
10-Q,2020-02-07,0001375365-20-000011,https://www.sec.gov/Archives/edgar/data/1375365/000137536520000011/smci-20191231x10q.htm
8-K,2020-02-06,0001375365-20-000008,https://www.sec.gov/Archives/edgar/data/1375365/000137536520000008/form8-k20200206.htm
8-K,2020-01-09,0001375365-20-000004,https://www.sec.gov/Archives/edgar/data/1375365/000137536520000004/form8-k20200109.htm
10-Q,2019-12-20,0001375365-19-000084,https://www.sec.gov/Archives/edgar/data/1375365/000137536519000084/smci-20190930x10q.htm
8-K,2019-12-20,0001375365-19-000080,https://www.sec.gov/Archives/edgar/data/1375365/000137536519000080/form8-k_20191219.htm
10-K,2019-12-19,0001375365-19-000079,https://www.sec.gov/Archives/edgar/data/1375365/000137536519000079/smci-2019630x10k.htm
10-Q,2019-12-19,0001375365-19-000078,https://www.sec.gov/Archives/edgar/data/1375365/000137536519000078/smci-20190331x10q.htm
10-Q,2019-12-19,0001375365-19-000077,https://www.sec.gov/Archives/edgar/data/1375365/000137536519000077/smci-20181231x10q.htm
10-Q,2019-12-19,0001375365-19-000076,https://www.sec.gov/Archives/edgar/data/1375365/000137536519000076/smci-20180930x10q.htm
8-K,2019-11-14,0001375365-19-000059,https://www.sec.gov/Archives/edgar/data/1375365/000137536519000059/form8-k_20191114x202.htm
8-K,2019-09-09,0001375365-19-000052,https://www.sec.gov/Archives/edgar/data/1375365/000137536519000052/form8-k_201900906x502.htm
NT 10-K,2019-08-30,0001375365-19-000049,https://www.sec.gov/Archives/edgar/data/1375365/000137536519000049/smci-form12bx25nt10xkx2019.htm
8-K,2019-08-15,0001375365-19-000047,https://www.sec.gov/Archives/edgar/data/1375365/000137536519000047/form8-k_20190815x202.htm
8-K,2019-07-02,0001375365-19-000045,https://www.sec.gov/Archives/edgar/data/1375365/000137536519000045/form8-k_20190701.htm
8-K,2019-05-17,0001375365-19-000041,https://www.sec.gov/Archives/edgar/data/1375365/000137536519000041/form8-k_20190516x202.htm
10-K,2019-05-17,0001375365-19-000039,https://www.sec.gov/Archives/edgar/data/1375365/000137536519000039/smci-2017630x10kxa.htm
8-K,2019-03-11,0001375365-19-000010,https://www.sec.gov/Archives/edgar/data/1375365/000137536519000010/form8-k_20190311x301.htm
8-K,2019-02-27,0001375365-19-000008,https://www.sec.gov/Archives/edgar/data/1375365/000137536519000008/form8-ka_20190226x502.htm
8-K,2019-02-14,0001375365-19-000006,https://www.sec.gov/Archives/edgar/data/1375365/000137536519000006/form8-k_20190214x202.htm
8-K,2019-02-05,0001375365-19-000002,https://www.sec.gov/Archives/edgar/data/1375365/000137536519000002/form8-k_20190204.htm
8-K,2018-12-11,0001375365-18-000004,https://www.sec.gov/Archives/edgar/data/1375365/000137536518000004/form8-k_20181210.htm
8-K,2018-11-15,0001628280-18-014419,https://www.sec.gov/Archives/edgar/data/1375365/000162828018014419/form8-k_20181115x202.htm
8-K,2018-10-22,0001628280-18-012712,https://www.sec.gov/Archives/edgar/data/1375365/000162828018012712/form8-k_20181018.htm
8-K,2018-10-15,0001628280-18-012549,https://www.sec.gov/Archives/edgar/data/1375365/000162828018012549/form8-k_20181015x701.htm
8-K,2018-09-12,0001628280-18-011798,https://www.sec.gov/Archives/edgar/data/1375365/000162828018011798/form8-k_20180912.htm
NT 10-K,2018-08-29,0001628280-18-011521,https://www.sec.gov/Archives/edgar/data/1375365/000162828018011521/smci-form12bx25nt10xkx2018.htm
8-K,2018-08-23,0001628280-18-011320,https://www.sec.gov/Archives/edgar/data/1375365/000162828018011320/form8-k_20180822.htm
8-K,2018-08-21,0001628280-18-011282,https://www.sec.gov/Archives/edgar/data/1375365/000162828018011282/form8-k_20180821x202.htm
8-K,2018-08-21,0001628280-18-011280,https://www.sec.gov/Archives/edgar/data/1375365/000162828018011280/form8-k_20180821x301.htm
8-K,2018-07-13,0001628280-18-009214,https://www.sec.gov/Archives/edgar/data/1375365/000162828018009214/form8-k_20180713.htm
8-K,2018-05-21,0001628280-18-007027,https://www.sec.gov/Archives/edgar/data/1375365/000162828018007027/form8-k_20180521.htm
8-K,2018-05-03,0001628280-18-005840,https://www.sec.gov/Archives/edgar/data/1375365/000162828018005840/form8-kq3x2018_pre.htm
8-K,2018-04-24,0001628280-18-004949,https://www.sec.gov/Archives/edgar/data/1375365/000162828018004949/form8-k_20180424.htm
8-K,2018-03-16,0001628280-18-003318,https://www.sec.gov/Archives/edgar/data/1375365/000162828018003318/form8-k_20180316.htm
8-K,2018-03-13,0001628280-18-003140,https://www.sec.gov/Archives/edgar/data/1375365/000162828018003140/form8-k_20180313.htm
8-K,2018-02-21,0001628280-18-001928,https://www.sec.gov/Archives/edgar/data/1375365/000162828018001928/form8-k_20180220.htm
8-K,2018-01-30,0001628280-18-000714,https://www.sec.gov/Archives/edgar/data/1375365/000162828018000714/form8-kq2x2018_pre.htm
8-K,2018-01-17,0001628280-18-000366,https://www.sec.gov/Archives/edgar/data/1375365/000162828018000366/form8-k_20180116.htm
8-K,2017-11-20,0001628280-17-011731,https://www.sec.gov/Archives/edgar/data/1375365/000162828017011731/form8-k_11202017.htm
8-K,2017-10-31,0001193125-17-327461,https://www.sec.gov/Archives/edgar/data/1375365/000119312517327461/d487716d8k.htm
8-K,2017-10-26,0001628280-17-010235,https://www.sec.gov/Archives/edgar/data/1375365/000162828017010235/form8-kq1x2018_pre.htm
