statement,line_item,concept,period,value,units,form,accession,source_url,provenance
BS,Total assets,Assets,Q/E 2024-12-31,9728348000,USD,10-Q,0001375365-25-000006,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000006/smci-20241231.htm,FILED
BS,Total assets,Assets,Q/E 2025-03-31,10738525000,USD,10-Q,0001375365-25-000014,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000014/smci-20250331.htm,FILED
BS,Total assets,Assets,Q/E 2025-09-30,14386037000,USD,10-Q,0001375365-25-000030,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000030/smci-20250930.htm,FILED
BS,Total assets,Assets,Q/E 2025-12-31,28001610000,USD,10-Q,0001375365-26-000007,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000007/smci-20251231.htm,FILED
BS,Total assets,Assets,Q/E 2026-03-31,23452029000,USD,10-Q,0001375365-26-000014,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000014/smci-20260331.htm,FILED
BS,Total current assets,AssetsCurrent,FY2023,3179426000,USD,10-K,0001375365-23-000036,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000036/smci-20230630.htm,FILED
BS,Total current assets,AssetsCurrent,FY2024,8931960000,USD,10-K,0001375365-25-000004,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000004/smci-20240630.htm,FILED
BS,Total current assets,AssetsCurrent,FY2025,12301654000,USD,10-K,0001375365-25-000027,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000027/smci-20250630.htm,FILED
BS,Total current assets,AssetsCurrent,Q/E 2024-09-30,9851584000,USD,10-Q,0001375365-25-000005,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000005/smci-20240930.htm,FILED
BS,Total current assets,AssetsCurrent,Q/E 2024-12-31,8667070000,USD,10-Q,0001375365-25-000006,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000006/smci-20241231.htm,FILED
BS,Total current assets,AssetsCurrent,Q/E 2025-03-31,9513589000,USD,10-Q,0001375365-25-000014,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000014/smci-20250331.htm,FILED
BS,Total current assets,AssetsCurrent,Q/E 2025-09-30,12661334000,USD,10-Q,0001375365-25-000030,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000030/smci-20250930.htm,FILED
BS,Total current assets,AssetsCurrent,Q/E 2025-12-31,26124597000,USD,10-Q,0001375365-26-000007,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000007/smci-20251231.htm,FILED
BS,Total current assets,AssetsCurrent,Q/E 2026-03-31,21568286000,USD,10-Q,0001375365-26-000014,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000014/smci-20260331.htm,FILED
BS,Cash & equivalents,CashAndCashEquivalentsAtCarryingValue,FY2023,440459000,USD,10-K,0001375365-23-000036,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000036/smci-20230630.htm,FILED
BS,Cash & equivalents,CashAndCashEquivalentsAtCarryingValue,FY2024,1669766000,USD,10-K,0001375365-25-000004,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000004/smci-20240630.htm,FILED
BS,Cash & equivalents,CashAndCashEquivalentsAtCarryingValue,FY2025,5169911000,USD,10-K,0001375365-25-000027,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000027/smci-20250630.htm,FILED
BS,Cash & equivalents,CashAndCashEquivalentsAtCarryingValue,Q/E 2024-09-30,2088718000,USD,10-Q,0001375365-25-000005,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000005/smci-20240930.htm,FILED
BS,Cash & equivalents,CashAndCashEquivalentsAtCarryingValue,Q/E 2024-12-31,1430002000,USD,10-Q,0001375365-25-000006,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000006/smci-20241231.htm,FILED
BS,Cash & equivalents,CashAndCashEquivalentsAtCarryingValue,Q/E 2025-03-31,2536101000,USD,10-Q,0001375365-25-000014,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000014/smci-20250331.htm,FILED
BS,Cash & equivalents,CashAndCashEquivalentsAtCarryingValue,Q/E 2025-09-30,4196867000,USD,10-Q,0001375365-25-000030,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000030/smci-20250930.htm,FILED
BS,Cash & equivalents,CashAndCashEquivalentsAtCarryingValue,Q/E 2025-12-31,4091083000,USD,10-Q,0001375365-26-000007,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000007/smci-20251231.htm,FILED
BS,Cash & equivalents,CashAndCashEquivalentsAtCarryingValue,Q/E 2026-03-31,1290324000,USD,10-Q,0001375365-26-000014,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000014/smci-20260331.htm,FILED
BS,"Deferred revenue, current",ContractWithCustomerLiabilityCurrent,FY2023,134667000,USD,10-K,0001375365-23-000036,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000036/smci-20230630.htm,FILED
BS,"Deferred revenue, current",ContractWithCustomerLiabilityCurrent,FY2024,193052000,USD,10-K,0001375365-25-000004,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000004/smci-20240630.htm,FILED
BS,"Deferred revenue, current",ContractWithCustomerLiabilityCurrent,FY2025,368737000,USD,10-K,0001375365-25-000027,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000027/smci-20250630.htm,FILED
BS,"Deferred revenue, current",ContractWithCustomerLiabilityCurrent,Q/E 2024-09-30,305840000,USD,10-Q,0001375365-25-000005,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000005/smci-20240930.htm,FILED
BS,"Deferred revenue, current",ContractWithCustomerLiabilityCurrent,Q/E 2024-12-31,309238000,USD,10-Q,0001375365-25-000006,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000006/smci-20241231.htm,FILED
BS,"Deferred revenue, current",ContractWithCustomerLiabilityCurrent,Q/E 2025-03-31,352803000,USD,10-Q,0001375365-25-000014,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000014/smci-20250331.htm,FILED
BS,"Deferred revenue, current",ContractWithCustomerLiabilityCurrent,Q/E 2025-09-30,597322000,USD,10-Q,0001375365-25-000030,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000030/smci-20250930.htm,FILED
BS,"Deferred revenue, current",ContractWithCustomerLiabilityCurrent,Q/E 2025-12-31,774846000,USD,10-Q,0001375365-26-000007,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000007/smci-20251231.htm,FILED
BS,"Deferred revenue, current",ContractWithCustomerLiabilityCurrent,Q/E 2026-03-31,1472235000,USD,10-Q,0001375365-26-000014,https://www.sec.gov/Archives/edgar/data/1375365/000137536526000014/smci-20260331.htm,FILED
BS,"Inventories, gross",InventoryGross,,,NOT_TAGGED,,,,FILED?
BS,"Inventories, net",InventoryNet,FY2023,1445564000,USD,10-K,0001375365-23-000036,https://www.sec.gov/Archives/edgar/data/1375365/000137536523000036/smci-20230630.htm,FILED
BS,"Inventories, net",InventoryNet,FY2024,4333029000,USD,10-K,0001375365-25-000004,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000004/smci-20240630.htm,FILED
BS,"Inventories, net",InventoryNet,FY2025,4680375000,USD,10-K,0001375365-25-000027,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000027/smci-20250630.htm,FILED
BS,"Inventories, net",InventoryNet,Q/E 2024-09-30,4930623000,USD,10-Q,0001375365-25-000005,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000005/smci-20240930.htm,FILED
BS,"Inventories, net",InventoryNet,Q/E 2024-12-31,3596145000,USD,10-Q,0001375365-25-000006,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000006/smci-20241231.htm,FILED
BS,"Inventories, net",InventoryNet,Q/E 2025-03-31,3870243000,USD,10-Q,0001375365-25-000014,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000014/smci-20250331.htm,FILED
BS,"Inventories, net",InventoryNet,Q/E 2025-09-30,5730002000,USD,10-Q,0001375365-25-000030,https://www.sec.gov/Archives/edgar/data/1375365/000137536525000030/smci-20250930.htm,FILED
